sampno,vehno,vehicle_num,veh_year,veh_make,veh_model,fuel,veh_type,fcev_mile_week,fcev_mile_month,fcev_refuel_week,fcev_refuel_month,fcev_refuel_when_1_x,fcev_refuel_when_2_x,fcev_refuel_time,fcev_refuel_wait,fcev_refuel_locations,fcev_refuel_routine,fcev_refuel_routine_4_x,fcev_refuel_distance_1_x,fcev_refuel_distance_2_x,fcev_station_convenience_1,fcev_station_convenience_2,fcev_station_convenience_3,fcev_alternative,fcev_alternative_times_year,fcev_alternative_times_month,fcev_alternative_mode_1,fcev_alternative_mode_2,fcev_alternative_mode_3,fcev_alternative_mode_4,fcev_alternative_mode_5,fcev_alternative_mode_6,fcev_alternative_mode_7,fcev_alternative_mode_8,fcev_alternative_mode_9,fcev_alternative_mode_10,fcev_alternative_mode_11,fcev_alternative_mode_12,fcev_alternative_mode_12_x,fcev_convenience,fcev_pay,fcev_fuel_cost_week,fcev_fuel_cost_month,fcev_compare_cost,fcev_cost_importance,fcev_incentives_1,fcev_incentives_2,fcev_incentives_3,fcev_incentives_4,fcev_incentives_5,fcev_incentives_6,fcev_incentives_7,fcev_incentives_8,fcev_experience,fcev_recommend,fcev_confidence,fcev_confidence_4_x
190174,190174.v01,1,2018,TOYOTA,,6,1, ,100,1, , ,100,10,2,2,1, ,7, ,0,0,1,2, , , , , , , , , , , , , , , ,5,4, , ,5,4,4,4,4,4,4,4,4,2,4,4, , 
190175,190175.v01,1,2017,TOYOTA,,6,1,200, , ,4, ,50,5,2,2,2, ,5, ,0,1,0,1,2, ,0,1,0,0,0,0,0,0,0,0,0,0, ,5,4, , ,5,1,6,5,5,5,5,7,3,5,7,5, , 
190184,190184.v02,2,2018,TOYOTA,,6,1,200, ,3, ,50, ,5,3,3,1, ,19, ,0,1,0,1,2, ,0,0,0,0,0,0,0,0,0,0,0,1,free rental from leasor (Toyota),3,4, , ,4,5,6,5,6,3,5,7,3,4,7,4,1, 
190187,190187.v01,1,2018,TOYOTA,,6,1,250, ,1, , ,50,4,2,2,1, ,10, ,0,1,0,2, , , , , , , , , , , , , , , ,4,4, , ,3,4,6,5,6,4,5,1,3,2,7,5, , 
190189,190189.v01,1,2017,TOYOTA,,6,1,280, ,280, ,25, ,15,2,3,1, ,10, ,0,0,1,1,20, ,1,0,0,0,0,0,0,0,0,0,0,0, ,5,4, , ,1,5,6,5,6,5,5,1,3,5,7,5, , 
190197,190197.v02,2,2017,TOYOTA,,6,1,100, ,7, ,15, ,5,3,3,1, ,3, ,1,0,0,1,2, ,0,1,0,0,0,0,0,0,0,0,0,0, ,4,4, , ,3,2,3,5,5,3,5,2,3,4,7,5,1, 
190221,190221.v02,2,2016,TOYOTA,,6,1, ,500, ,4, ,130,5,3,3,1, ,30, ,0,1,0,1, ,4,1,0,0,0,0,0,0,0,0,0,0,0, ,3,4, , ,5,3,1,4,5,4,4,1,4,5,7,5, , 
190226,190226.v01,1,2017,HONDA,,6,3,120, ,1, ,33, ,5,3,2,1, ,25, ,0,1,0,1,1, ,0,1,0,0,0,0,0,0,0,0,0,0, ,4,4, , ,5,3,5,5,5,5,5,6,3,4,7,5, , 
190228,190228.v01,1,2017,TOYOTA,,6,1,120, ,1, ,50, ,5,3,2,1, ,5, ,1,1,0,1,2, ,1,1,0,1,0,0,0,1,0,0,0,0, ,4,4, , ,1,4,7,5,7,5,5,7,7,4,5,4, , 
190230,190230.v03,3,2018,TOYOTA,,6,1,100, ,1, , ,35,5,3,2,1, ,9, ,1,1,0,1, ,5,1,0,0,0,0,0,0,0,0,0,0,0, ,5,4, , ,1,3,4,4,3,3,4,1,2,5,2,1, , 
190232,190232.v06,6,2016,TOYOTA,,6,1, ,900,1, , ,80,5,3,1, , , ,15,1,0,0,1,30, ,1,0,0,0,0,0,0,0,0,0,0,0, ,5,4, , ,5,5,5,5,5,5,5,6,6,5,4,4, , 
190244,190244.v03,3,2018,HONDA,,6,3,250, ,1, , ,100,8,3,4,2, ,2, ,1,0,0,1,3, ,1,0,0,0,0,0,0,0,0,0,0,0, ,5,4, , ,1,5,6,5,6,6,5,6,4,3,5,4, , 
190251,190251.v01,1,2017,HONDA,,6,3, ,300, ,2, ,65,5,4,2,1, ,15, ,0,0,1,1,2, ,1,0,0,0,0,0,0,0,0,0,0,0, ,5,4, , ,5,1,7,5,7,6,5,7,1,4,4,2, , 
190254,190254.v01,1,2017,TOYOTA,,6,1, ,111, ,1,25, ,8,3,1, , ,3, ,1,0,0,2, , , , , , , , , , , , , , , ,5,4, , ,4,5,5,5,5,5,5,1,4,5,6,1,1, 
190257,190257.v01,1,2017,TOYOTA,,6,1,150, , ,3, ,40,12,4,1, , , ,14,1,0,0,1,10, ,1,0,0,0,0,0,0,0,0,0,0,0, ,1,4, , ,1,3,6,5,2,5,5,6,6,2,5,4, , 
190264,190264.v01,1,2016,TOYOTA,,6,1,150, ,1, , ,50,4,4,3,1, ,10, ,0,0,1,1,3, ,1,0,0,0,0,0,0,0,0,0,0,0, ,5,4, , ,5,4,6,5,5,5,5,1,2,5,5,3, , 
190270,190270.v02,2,2018,HONDA,,6,3,200, ,2, ,20, ,8,4,2,2, ,5, ,1,1,0,1,3, ,1,1,0,1,0,0,0,0,0,0,0,0, ,3,4, , ,1,3,1,4,1,4,4,1,2,3,7,5, , 
190289,190289.v01,1,2017,TOYOTA,,6,1,220, ,2, , ,60,5,3,1, , , ,3,1,0,0,1,3, ,1,0,0,0,0,0,0,0,0,0,0,0, ,3,4, , ,4,3,3,5,5,5,4,1,3,5,7,5, , 
190290,190290.v01,1,2017,HONDA,,6,3, ,900,1, , ,20,5,4,4,2, ,5, ,0,1,0,2, , , , , , , , , , , , , , , ,3,4, , ,5,3,6,5,6,7,5,7,7,5,5,5, , 
190295,190295.v01,1,2018,TOYOTA,,6,3,211, ,211, , ,100,20,3,2,1, ,10, ,0,0,1,1,6, ,1,1,0,0,0,0,0,0,0,0,0,0, ,5,4, , ,5,4,7,5,7,5,5,7,5,5,3,3, , 
190311,190311.v01,1,2017,HONDA,,6,3,150, , ,3, ,60,4,4,2,1, ,12, ,1,1,0,2, , , , , , , , , , , , , , , ,3,4, , ,1,1,7,5,7,7,5,7,4,2,7,5, , 
190314,190314.v06,6,2018,HONDA,,6,3,385, ,3, , , ,5,3,2,2, ,9, ,1,1,0,2, , , , , , , , , , , , , , , ,5,4, , ,5,5,7,5,7,5,5,7,3,5,4,3,1, 
190319,190319.v02,2,2017,TOYOTA,,6,1, ,700, ,3, ,60,5,3,3,1, ,5, ,0,0,1,2, , , , , , , , , , , , , , , ,5,4, , ,1,5,4,5,7,5,5,7,3,5,7,5,1, 
190324,190324.v02,2,2017,HYUNDAI,,6,6,250, ,3, , ,120,15,2,2,1, ,4, ,1,0,0,1,5, ,1,0,0,0,0,0,0,0,0,0,0,0, ,2,2, ,120,5,1,6,4,6,7,7,6,1,3,5,3,2, 
190326,190326.v02,2,2017,TOYOTA,,6,1,100, , ,2, ,20,10,3,2,1, ,2, ,1,0,0,1,2, ,1,0,0,0,0,0,0,0,0,0,0,0, ,3,4, , ,5,5,6,4,6,3,5,3,6,4,5,4, , 
190373,190373.v01,1,2017,TOYOTA,,6,1, ,300, ,2, ,50,12,4,1, , ,2, ,1,0,0,1,2, ,0,1,0,0,0,0,0,0,0,0,0,0, ,5,4, , ,4,5,7,5,7,7,5,7,1,4,5,4, , 
190379,190379.v01,1,2016,TOYOTA,,6,1, ,851, ,5,38, ,6,4,4,2, ,9, ,0,0,1,2, , , , , , , , , , , , , , , ,5,2, ,160,4,1,4,4,7,3,4,7,3,4,7,5, , 
190380,190380.v03,3,2017,TOYOTA,,6,1,140, , ,1,15, ,5,4,4,2, ,12, ,0,0,1,1,5, ,1,0,0,0,0,0,0,0,0,0,0,0, ,4,4, , ,1,4,1,1,1,1,4,1,1,3,4,3,3, 
190387,190387.v02,2,2018,TOYOTA,,6,1, ,670,1, , ,100,5,3,1, , , ,3,1,0,0,1,2, ,1,0,0,0,0,0,0,0,0,0,0,0, ,5,4, , ,4,1,7,5,7,4,5,7,2,5,6,4, , 
190391,190391.v01,1,2017,HONDA,,6,3,300, ,2, ,50, ,5,4,3,1, ,12, ,0,0,1,1, ,1,0,1,0,0,0,0,0,0,0,0,0,0, ,3,4, , ,1,3,6,5,5,5,5,1,3,3,7,5, , 
190404,190404.v01,1,2018,TOYOTA,,6,1, ,500, ,2,50, ,5,4,1, , , ,10,1,0,0,2, , , , , , , , , , , , , , , ,5,4, , ,3,1,5,5,5,5,5,3,5,2,7,5, , 
190400,190400.v01,1,2018,TOYOTA,,6,1,300, ,1, ,50, ,5,3,1, , ,10, ,1,0,0,2, , , , , , , , , , , , , , , ,3,4, , ,1,4,6,5,7,5,4,1,5,5,7,5, , 
190458,190458.v03,3,2017,HONDA,,6,3,380, ,1, , ,30,5,4,4,2, ,15, ,1,1,0,2, , , , , , , , , , , , , , , ,3,4, , ,1,4,6,2,7,5,4,2,1,5,7,5, , 
190428,190428.v02,2,2018,TOYOTA,,6,1,70, ,1, ,40, ,5,2,2,1, ,8, ,0,1,0,2, , , , , , , , , , , , , , , ,5,4, , ,5,2,4,4,4,4,4,7,4,4,6,4,1, 
190417,190417.v01,1,2017,HONDA,,6,3,300, ,1, ,10, ,5,3,2,1, ,3, ,1,0,0,1,4, ,1,0,0,0,0,0,0,0,0,0,0,0, ,3,4, , ,4,1,1,5,1,3,5,1,1,1,4,3, , 
190451,190451.v01,1,2017,HONDA,,6,3,100, , ,2,50, ,4,3,1, , ,8, ,0,1,0,2, , , , , , , , , , , , , , , ,4,4, , ,1,2,1,3,7,2,3,1,2,1,6,4, , 
190422,190422.v02,2,2017,TOYOTA,,6,1,310, ,2, , ,50,5,4,3,2, ,18, ,0,1,0,1,2, ,1,1,0,1,0,0,1,0,0,0,0,0, ,2,4, , ,5,1,4,4,5,3,4,3,3,4,6,4, , 
190426,190426.v03,3,2017,HONDA,,6,3,300, ,1, , ,40,5,3,4,2, ,15, ,0,1,0,1,30, ,1,0,0,0,0,0,0,0,0,0,0,0, ,4,4, , ,4,3,1,5,3,5,5,1,2,5,5,4, , 
190436,190436.v01,1,2018,HONDA,,6,3,250, ,1, , ,80,6,4,1, , ,18, ,0,0,1,1,1, ,1,0,0,0,0,0,0,0,0,0,0,0, ,4,4, , ,4,3,7,4,2,1,4,7,1,2,5,3, , 
190681,190681.v02,2,2018,TOYOTA,,6,1,300, ,4, ,15, ,5,2,3,1, , ,10,0,0,1,1,1, ,0,1,0,0,0,0,0,0,0,0,0,0, ,5,4, , ,3,4,5,5,5,5,5,4,4,5,5,4, , 
190468,190468.v01,1,2017,HONDA,,6,3,425, ,3, , ,30,6,4,1, , ,16, ,0,1,0,1,1, ,0,1,0,0,0,0,0,0,0,0,0,0, ,5,4, , ,1,5,6,5,5,5,5,7,5,5,4,3, , 
190453,190453.v03,3,2016,TOYOTA,,6,1,150, ,1, ,20, ,10,3,4,1, ,5, ,1,0,0,1,1, ,1,0,0,0,0,0,0,0,0,0,0,0, ,3,4, , ,5,2,4,4,4,3,4,7,7,2,4,3,2, 
190454,190454.v01,1,2017,HONDA,,6,3, ,400, ,2, ,50,5,2,2,1, ,2, ,1,0,0,1,3, ,1,0,0,0,0,0,0,0,0,0,0,0, ,3,4, , ,4,2,1,3,1,2,4,1,3,1,6,3, , 
190470,190470.v02,2,2016,TOYOTA,,6,1, ,500,2, , ,35,4,3,2,1, , ,18,0,0,1,1,3, ,1,0,0,0,0,0,0,0,0,0,0,0, ,4,4, , ,1,3,7,4,4,4,4,7,3,3,6,4,2, 
190469,190469.v02,2,2017,HONDA,,6,3, ,400, ,2, ,140,5,4,2,1, ,9, ,1,1,0,2, , , , , , , , , , , , , , , ,3,4, , ,1,2,1,2,1,1,3,1,2,2,5,4, , 
190476,190476.v01,1,2017,TOYOTA,,6,1,300, , ,6, ,70,5,1,2,1, ,5, ,1,1,0,1,1, ,1,1,0,0,0,0,0,0,0,0,0,0, ,3,4, , ,5,5,6,5,5,5,5,3,4,5,7,3, , 
190461,190461.v01,1,2017,TOYOTA,,6,1, ,999,3, ,30, ,15,2,3,2, , ,30,0,0,1,1,15, ,1,1,0,0,0,0,0,0,0,0,0,0, ,5,4, , ,5,1,3,3,3,4,5,1,1,1,1,1,1, 
190472,190472.v01,1,2016,HONDA,,6,3,200, , ,3, ,40,4,3,3,1, , ,20,0,0,1,2, , , , , , , , , , , , , , , ,5,4, , ,4,2,7,7,7,5,5,7,7,3,7,5,1, 
190467,190467.v02,2,2017,HONDA,,6,3,250, , ,3,20, ,10,2,3,1, ,15, ,0,0,1,2, , , , , , , , , , , , , , , ,4,4, , ,2,3,2,3,3,5,4,1,1,2,4,4, , 
190471,190471.v01,1,2017,HONDA,,6,3,250, ,1, , ,60,4,4,1, , ,6, ,1,1,0,1,3, ,1,1,0,0,0,0,0,0,0,0,0,0, ,3,4, , ,2,4,7,5,7,5,5,7,3,5,7,5, , 
190482,190482.v02,2,2017,HONDA,,6,3,250, ,1, , ,50,10,1,2,1, ,5, ,0,0,1,2, , , , , , , , , , , , , , , ,2,4, , ,3,2,5,5,5,5,5,5,5,5,7,5, , 
190488,190488.v03,3,2017,HONDA,,6,3, ,670, ,3,33, ,5,2,2,1, ,5, ,1,0,0,1,15, ,1,0,0,0,0,0,0,0,0,0,0,0, ,5,4, , ,4,2,7,5,7,3,4,7,7,3,7,5, , 
190478,190478.v01,1,2017,HONDA,,6,3,300, ,3, , ,80,5,4,2,1, ,12, ,1,0,0,1,5, ,1,0,0,0,0,0,0,0,0,0,0,0, ,3,4, , ,5,4,6,5,6,6,5,1,1,5,5,5, , 
190511,190511.v03,3,2017,TOYOTA,,6,1, ,350, ,2, ,90,5,4,1, , ,6, ,1,0,0,1,1, ,0,1,0,0,0,0,0,0,0,0,0,0, ,5,4, , ,1,3,6,3,6,3,5,6,2,3,5,4, , 
190502,190502.v02,2,2017,HONDA,,6,3, ,750, ,3,25, ,5,3,2,1, ,1, ,1,0,0,1, ,2,1,0,0,0,0,0,0,0,0,0,0,0, ,5,4, , ,4,1,7,3,7,7,4,7,2,2,4,3, , 
190487,190487.v04,4,2019,TOYOTA,,6,1,250, ,1, ,20, ,5,1,2,2, ,25, ,0,1,0,1,4, ,1,1,0,0,0,0,0,0,0,0,0,0, ,5,4, , ,5,5,6,5,5,5,5,1,1,5,5,4,2, 
190503,190503.v01,1,2017,TOYOTA,,6,1, ,500, ,4,25, ,6,2,3,1, ,1, ,1,1,0,1,1, ,0,1,0,0,0,0,0,0,0,0,0,0, ,3,4, , ,4,1,4,5,7,7,5,4,3,4,7,5, , 
190519,190519.v01,1,2018,TOYOTA,,6,1,200, ,1, ,50, ,5,3,2,1, ,3, ,1,1,0,1,1, ,0,1,0,0,0,0,0,0,0,0,0,0, ,5,4, , ,1,5,5,5,5,5,5,7,7,5,7,5, , 
190547,190547.v02,2,2017,HONDA,,6,3,330, ,1, , ,50,4,3,2,1, ,3, ,1,1,0,1,3, ,1,1,0,0,0,0,0,0,0,0,0,0, ,4,4, , ,1,2,5,5,5,5,5,1,3,5,7,5, , 
190522,190522.v01,1,2017,HONDA,,6,3,150, , ,2, ,20,5,3,2,2, ,6, ,0,0,1,1, ,6,1,0,0,0,0,0,0,0,0,0,0,0, ,3,4, , ,2,1,6,5,5,4,5,1,3,5,5,4, , 
190536,190536.v03,3,2018,HONDA,,6,3,400, ,2, , ,100,5,4,1, , , ,5,1,0,0,1,4, ,1,1,0,0,0,0,0,0,0,0,0,0, ,3,4, , ,2,3,7,5,7,7,5,7,3,5,5,4,1, 
190534,190534.v01,1,2018,TOYOTA,,6,1,300, ,1, , ,100,5,3,3,2, ,20, ,0,0,1,2, , , , , , , , , , , , , , , ,5,4, , ,1,5,7,5,7,4,5,7,4,4,4,3, , 
190527,190527.v01,1,2018,TOYOTA,,6,1,300, ,1, , , ,5,3,4,3, , ,30,0,1,0,1, ,2,1,1,0,0,0,0,0,0,0,0,0,0, ,5,4, , ,4,3,6,3,4,3,4,1,3,4,4,3, , 
190549,190549.v01,1,2018,TOYOTA,,6,1,250, ,2, , , ,10,2,3,1, ,4, ,1,0,0,1,1, ,0,1,0,0,0,0,0,0,0,0,0,0, ,5,4, , ,1,5,7,5,1,4,5,1,2,2,7,5, , 
190565,190565.v01,1,2017,TOYOTA,,6,1, ,900,2, , ,95,5,3,2,1, ,3, ,1,0,0,2, , , , , , , , , , , , , , , ,3,4, , ,5,5,7,5,7,7,5,7,4,4,4,4,1, 
190568,190568.v05,5,2018,TOYOTA,,6,1,300, ,1, , ,290,10,3,2,1, , ,10,1,1,0,1, ,1,1,1,0,0,0,0,0,0,0,0,0,0, ,4,4, , ,5,3,5,5,7,5,5,5,4,5,4,4,1, 
190572,190572.v01,1,2018,HONDA,,6,3,450, ,2, , ,50,6,2,4,2, ,6, ,0,0,1,1,6, ,1,1,0,0,0,0,0,0,0,0,0,0, ,5,4, , ,1,1,5,5,5,4,5,3,1,5,5,4, , 
190569,190569.v01,1,2018,TOYOTA,,6,1,400, ,2, , ,100,5,4,2,2, ,8, ,1,0,0,1,2, ,0,1,0,0,0,0,0,0,0,0,0,0, ,5,4, , ,1,4,6,4,7,3,5,2,3,3,7,5, , 
190576,190576.v01,1,2018,TOYOTA,,6,1,250, ,1, ,25, ,5,3,2,1, ,4, ,1,0,0,2, , , , , , , , , , , , , , , ,4,4, , ,4,4,6,1,5,5,5,1,2,5,5,5, , 
190582,190582.v02,2,2017,TOYOTA,,6,1,15, , ,1,50, ,5,3,1, , ,2, ,1,0,0,1,1, ,0,0,0,0,0,0,0,0,0,0,0,1,Loaner vehicle from dealer,2,4, , ,3,1,3,3,3,4,5,7,5,5,5,5, , 
190587,190587.v01,1,2017,HONDA,,6,3,400, ,1, , ,30,5,2,1, , ,5, ,1,1,0,2, , , , , , , , , , , , , , , ,4,4, , ,5,5,5,5,5,4,5,4,3,5,7,5, , 
190908,190908.v01,1,2017,TOYOTA,,6,1,400, ,2, ,25, ,10,2,4,3, ,9, ,0,0,1,1,3, ,0,1,0,0,0,0,1,0,0,0,0,0, ,5,4, , ,4,1,6,3,6,6,3,7,6,3,4,4, , 
190874,190874.v01,1,2017,HONDA,,6,3,300, ,3, , ,100,5,3,2,2, ,7, ,0,1,0,1,1, ,1,0,0,0,0,0,0,0,0,0,0,0, ,5,4, , ,5,1,7,5,7,3,5,7,2,5,3,1, , 
190711,190711.v02,2,2017,HONDA,,6,3, ,500, ,3, ,100,10,1,4,1, ,1, ,1,0,0,1,1, ,0,1,0,0,0,0,0,0,0,0,0,0, ,5,4, , ,1,5,5,5,7,4,5,3,5,5,5,4,1, 
190610,190610.v01,1,2017,HONDA,,6,3,335, ,2, ,50, ,10,3,2,1, ,2, ,1,0,0,1,4, ,1,1,0,0,0,0,0,0,0,0,0,0, ,3,4, , ,1,5,6,5,1,3,5,1,2,4,7,5, , 
190621,190621.v02,2,2017,TOYOTA,,6,1,150, ,1, , ,70,5,2,2,1, , ,10,1,0,0,1,9, ,1,1,0,0,1,0,0,1,0,0,0,0, ,5,4, , ,5,4,5,5,5,5,5,5,5,3,4,4, , 
190624,190624.v01,1,2018,TOYOTA,,6,1, ,800,1, , ,50,15,2,3,2, ,30, ,0,0,1,1,2, ,0,1,0,1,0,0,1,0,0,0,0,0, ,5,4, , ,1,5,5,5,5,5,5,5,5,5,5,5, , 
190668,190668.v01,1,2017,HONDA,,6,3,400, ,1, , ,30,3,3,1, , ,33, ,0,1,0,1,2, ,0,1,0,0,0,0,0,0,0,0,0,0, ,3,4, , ,4,4,6,5,7,4,5,7,3,5,7,5, , 
190645,190645.v03,3,2018,TOYOTA,,6,1,300, ,1, ,25, ,8,3,2,1, ,1, ,1,0,0,2, , , , , , , , , , , , , , , ,3,4, , ,5,5,1,5,3,5,5,1,3,3,6,4, , 
190631,190631.v01,1,2017,TOYOTA,,6,1, ,500, ,4, ,50,5,4,3,1, ,11, ,0,0,1,2, , , , , , , , , , , , , , , ,5,4, , ,4,3,5,5,5,5,5,1,5,4,6,4, , 
190641,190641.v01,1,2017,HONDA,,6,3, ,750,1, ,30, ,6,2,1, , ,4, ,0,0,1,2, , , , , , , , , , , , , , , ,5,4, , ,5,4,7,5,7,5,5,7,3,4,4,3, , 
190640,190640.v01,1,2017,HONDA,,6,3,250, ,1, ,50, ,6,3,4,2, ,8, ,1,1,0,1,2, ,0,1,0,0,0,0,0,0,0,0,0,0, ,5,4, , ,5,1,1,4,1,1,5,1,3,3,5,4, , 
190671,190671.v02,2,2018,TOYOTA,,6,1,150, , ,2, ,50,10,2,2,1, ,3, ,0,0,1,1, ,1,1,0,0,0,0,0,0,0,0,0,0,0, ,2,4, , ,4,4,3,5,4,5,5,2,3,5,7,5, , 
190667,190667.v01,1,2017,TOYOTA,,6,1,230, ,1, ,20, ,5,1,3,3, ,15, ,0,1,0,1, ,2,1,0,0,0,0,0,0,0,0,0,0,0, ,5,4, , ,1,5,5,5,5,5,5,1,5,5,6,3,1, 
190657,190657.v02,2,2018,TOYOTA,,6,1,300, ,2, , ,10,10,3,2,1, ,8, ,0,0,1,1, ,2,1,0,0,0,0,0,0,0,0,0,0,0, ,2,4, , ,3,4,3,5,3,4,3,4,3,5,4,4, , 
190747,190747.v03,3,2017,TOYOTA,,6,1,300, ,1, , ,25,5,3,1, , ,8, ,0,0,1,1, ,2,1,0,0,0,0,0,0,0,0,0,0,0, ,4,4, , ,5,1,7,5,7,5,5,7,2,5,4,3, , 
190675,190675.v02,2,2018,TOYOTA,,6,1,250, ,1, , ,40,20,2,1, , ,11, ,0,0,1,1,10, ,1,0,0,0,0,0,0,0,0,0,0,0, ,4,4, , ,1,5,5,5,6,7,5,7,7,3,4,3,1, 
190695,190695.v01,1,2017,TOYOTA,,6,1,200, ,1, ,80, ,5,3,3,3, , ,10,0,0,1,1, ,1,0,1,0,0,0,0,0,0,0,0,0,0, ,3,4, , ,1,1,7,4,4,7,7,7,1,3,7,4, , 
190694,190694.v01,1,2017,TOYOTA,,6,1, ,650, ,3, ,40,3,4,1, , ,2, ,1,0,0,1,4, ,1,1,0,0,0,0,0,0,0,0,0,0, ,3,4, , ,1,3,1,2,7,1,3,1,1,1,7,5, , 
190699,190699.v02,2,2019,TOYOTA,,6,1,60, ,1, ,1, ,5,2,1, , ,15, ,0,0,1,1,6, ,0,1,0,0,0,0,0,0,0,0,0,0, ,4,4, , ,1,5,5,5,6,5,5,6,5,5,5,5, , 
190827,190827.v03,3,2018,TOYOTA,,6,1,100, , ,3,20, ,6,4,4,2, ,2, ,1,0,0,1,1, ,0,1,0,0,0,0,0,0,0,0,0,0, ,4,4, , ,2,1,5,5,7,5,5,3,5,7,6,4,2, 
